vulnerabilidade,f1_gemini,ic95_gem_inf,ic95_gem_sup,f1_gpt4,ic95_g4_inf,ic95_g4_sup,p_valor,sig_raw,sig_bh,q_valor
REENTRANCY,32.1,23.0,41.6,47.6,35.7,59.6,0.0,True,True,0.0
ACCESS_CONTROL,23.8,13.9,34.2,18.5,10.2,27.5,0.949,False,False,0.949
ARITHMETIC,27.7,15.4,39.1,35.4,21.1,47.4,0.007,True,True,0.028
UNCHECKED_LL_CALLS,61.5,50.8,72.0,63.6,54.0,72.7,0.309,False,False,0.387
DENIAL_OF_SERVICE,4.9,1.0,9.3,10.1,2.2,18.6,0.01,True,True,0.028
BAD_RANDOMNESS,49.1,18.9,80.0,78.1,47.6,90.9,0.111,False,False,0.199
FRONT_RUNNING,4.5,0.0,9.9,6.2,0.0,18.7,0.344,False,False,0.387
TIME_MANIPULATION,21.1,3.8,38.7,34.3,6.9,56.4,0.012,True,True,0.028
SHORT_ADDRESSES,8.0,0.0,25.0,16.7,0.0,46.2,0.145,False,False,0.218
